id,monthofyear,year
201601,01,2016
201602,02,2016
201603,03,2016
201604,04,2016
201605,05,2016
201606,06,2016
201607,07,2016
201608,08,2016
201609,09,2016
201610,10,2016
201611,11,2016
201612,12,2016
201701,01,2017
201702,02,2017
201703,03,2017
201704,04,2017
201705,05,2017
201706,06,2017
201707,07,2017
201708,08,2017
201709,09,2017
201710,10,2017
201711,11,2017
201712,12,2017
201801,01,2018
201802,02,2018
201803,03,2018
201804,04,2018
201805,05,2018
201806,06,2018
201807,07,2018
201808,08,2018
201809,09,2018
201810,10,2018
201811,11,2018
201812,12,2018
201901,01,2019
201902,02,2019
201903,03,2019
201904,04,2019
201905,05,2019
201906,06,2019
201907,07,2019
201908,08,2019
201909,09,2019
201910,10,2019
201911,11,2019
201912,12,2019
202001,01,2020
202002,02,2020
202003,03,2020
202004,04,2020
202005,05,2020
202007,07,2020
202008,08,2020
202009,09,2020
202010,10,2020
202011,11,2020
202012,12,2020
202101,01,2021
202102,02,2021
202103,03,2021
202104,04,2021
202105,05,2021
202106,06,2021
202107,07,2021
202108,08,2021
202109,09,2021
202110,10,2021
202111,11,2021
202112,12,2021
202201,01,2022
202202,02,2022
202203,03,2022
202204,04,2022
202205,05,2022
202206,06,2022
202207,07,2022
202208,08,2022
202209,09,2022
202210,10,2022
202211,11,2022
202212,12,2022
