id,dateofsemiday,time
20160101D,20160101,D
20160101N,20160101,N
20160102D,20160102,D
20160102N,20160102,N
20160103D,20160103,D
20160103N,20160103,N
20160104D,20160104,D
20160104N,20160104,N
20160105D,20160105,D
20160105N,20160105,N
20160106D,20160106,D
20160106N,20160106,N
20160107D,20160107,D
20160107N,20160107,N
20160108D,20160108,D
20160108N,20160108,N
20160109D,20160109,D
20160109N,20160109,N
20160110D,20160110,D
20160110N,20160110,N
20160111D,20160111,D
20160111N,20160111,N
20160112D,20160112,D
20160112N,20160112,N
20160113D,20160113,D
20160113N,20160113,N
20160114D,20160114,D
20160114N,20160114,N
20160115D,20160115,D
20160115N,20160115,N
20160116D,20160116,D
20160116N,20160116,N
20160117D,20160117,D
20160117N,20160117,N
20160118D,20160118,D
20160118N,20160118,N
20160119D,20160119,D
20160119N,20160119,N
20160120D,20160120,D
20160120N,20160120,N
20160121D,20160121,D
20160121N,20160121,N
20160122D,20160122,D
20160122N,20160122,N
20160123D,20160123,D
20160123N,20160123,N
20160124D,20160124,D
20160124N,20160124,N
20160125D,20160125,D
20160125N,20160125,N
20160126D,20160126,D
20160126N,20160126,N
20160127D,20160127,D
20160127N,20160127,N
20160128D,20160128,D
20160128N,20160128,N
20160129D,20160129,D
20160129N,20160129,N
20160130D,20160130,D
20160130N,20160130,N
20160131D,20160131,D
20160131N,20160131,N
20160201D,20160201,D
20160201N,20160201,N
20160202D,20160202,D
20160202N,20160202,N
20160203D,20160203,D
20160203N,20160203,N
20160204D,20160204,D
20160204N,20160204,N
20160205D,20160205,D
20160205N,20160205,N
20160206D,20160206,D
20160206N,20160206,N
20160207D,20160207,D
20160207N,20160207,N
20160208D,20160208,D
20160208N,20160208,N
20160209D,20160209,D
20160209N,20160209,N
20160210D,20160210,D
20160210N,20160210,N
20160211D,20160211,D
20160211N,20160211,N
20160212D,20160212,D
20160212N,20160212,N
20160213D,20160213,D
20160213N,20160213,N
20160214D,20160214,D
20160214N,20160214,N
20160215D,20160215,D
20160215N,20160215,N
20160216D,20160216,D
20160216N,20160216,N
20160217D,20160217,D
20160217N,20160217,N
20160218D,20160218,D
20160218N,20160218,N
20160219D,20160219,D
20160219N,20160219,N
20160220D,20160220,D
20160220N,20160220,N
20160221D,20160221,D
20160221N,20160221,N
20160222D,20160222,D
20160222N,20160222,N
20160223D,20160223,D
20160223N,20160223,N
20160224D,20160224,D
20160224N,20160224,N
20160225D,20160225,D
20160225N,20160225,N
20160226D,20160226,D
20160226N,20160226,N
20160227D,20160227,D
20160227N,20160227,N
20160228D,20160228,D
20160228N,20160228,N
20160229D,20160229,D
20160229N,20160229,N
20160301D,20160301,D
20160301N,20160301,N
20160302D,20160302,D
20160302N,20160302,N
20160303D,20160303,D
20160303N,20160303,N
20160304D,20160304,D
20160304N,20160304,N
20160305D,20160305,D
20160305N,20160305,N
20160306D,20160306,D
20160306N,20160306,N
20160307D,20160307,D
20160307N,20160307,N
20160308D,20160308,D
20160308N,20160308,N
20160309D,20160309,D
20160309N,20160309,N
20160310D,20160310,D
20160310N,20160310,N
20160311D,20160311,D
20160311N,20160311,N
20160312D,20160312,D
20160312N,20160312,N
20160313D,20160313,D
20160313N,20160313,N
20160314D,20160314,D
20160314N,20160314,N
20160315D,20160315,D
20160315N,20160315,N
20160316D,20160316,D
20160316N,20160316,N
20160317D,20160317,D
20160317N,20160317,N
20160318D,20160318,D
20160318N,20160318,N
20160319D,20160319,D
20160319N,20160319,N
20160320D,20160320,D
20160320N,20160320,N
20160321D,20160321,D
20160321N,20160321,N
20160322D,20160322,D
20160322N,20160322,N
20160323D,20160323,D
20160323N,20160323,N
20160324D,20160324,D
20160324N,20160324,N
20160325D,20160325,D
20160325N,20160325,N
20160326D,20160326,D
20160326N,20160326,N
20160327D,20160327,D
20160327N,20160327,N
20160328D,20160328,D
20160328N,20160328,N
20160329D,20160329,D
20160329N,20160329,N
20160330D,20160330,D
20160330N,20160330,N
20160331D,20160331,D
20160331N,20160331,N
20160401D,20160401,D
20160401N,20160401,N
20160402D,20160402,D
20160402N,20160402,N
20160403D,20160403,D
20160403N,20160403,N
20160404D,20160404,D
20160404N,20160404,N
20160405D,20160405,D
20160405N,20160405,N
20160406D,20160406,D
20160406N,20160406,N
20160407D,20160407,D
20160407N,20160407,N
20160408D,20160408,D
20160408N,20160408,N
20160409D,20160409,D
20160409N,20160409,N
20160410D,20160410,D
20160410N,20160410,N
20160411D,20160411,D
20160411N,20160411,N
20160412D,20160412,D
20160412N,20160412,N
20160413D,20160413,D
20160413N,20160413,N
20160414D,20160414,D
20160414N,20160414,N
20160415D,20160415,D
20160415N,20160415,N
20160416D,20160416,D
20160416N,20160416,N
20160417D,20160417,D
20160417N,20160417,N
20160418D,20160418,D
20160418N,20160418,N
20160419D,20160419,D
20160419N,20160419,N
20160420D,20160420,D
20160420N,20160420,N
20160421D,20160421,D
20160421N,20160421,N
20160422D,20160422,D
20160422N,20160422,N
20160423D,20160423,D
20160423N,20160423,N
20160424D,20160424,D
20160424N,20160424,N
20160425D,20160425,D
20160425N,20160425,N
20160426D,20160426,D
20160426N,20160426,N
20160427D,20160427,D
20160427N,20160427,N
20160428D,20160428,D
20160428N,20160428,N
20160429D,20160429,D
20160429N,20160429,N
20160430D,20160430,D
20160430N,20160430,N
20160501D,20160501,D
20160501N,20160501,N
20160502D,20160502,D
20160502N,20160502,N
20160503D,20160503,D
20160503N,20160503,N
20160504D,20160504,D
20160504N,20160504,N
20160505D,20160505,D
20160505N,20160505,N
20160506D,20160506,D
20160506N,20160506,N
20160507D,20160507,D
20160507N,20160507,N
20160508D,20160508,D
20160508N,20160508,N
20160509D,20160509,D
20160509N,20160509,N
20160510D,20160510,D
20160510N,20160510,N
20160511D,20160511,D
20160511N,20160511,N
20160512D,20160512,D
20160512N,20160512,N
20160513D,20160513,D
20160513N,20160513,N
20160514D,20160514,D
20160514N,20160514,N
20160515D,20160515,D
20160515N,20160515,N
20160516D,20160516,D
20160516N,20160516,N
20160517D,20160517,D
20160517N,20160517,N
20160518D,20160518,D
20160518N,20160518,N
20160519D,20160519,D
20160519N,20160519,N
20160520D,20160520,D
20160520N,20160520,N
20160521D,20160521,D
20160521N,20160521,N
20160522D,20160522,D
20160522N,20160522,N
20160523D,20160523,D
20160523N,20160523,N
20160524D,20160524,D
20160524N,20160524,N
20160525D,20160525,D
20160525N,20160525,N
20160526D,20160526,D
20160526N,20160526,N
20160527D,20160527,D
20160527N,20160527,N
20160528D,20160528,D
20160528N,20160528,N
20160529D,20160529,D
20160529N,20160529,N
20160530D,20160530,D
20160530N,20160530,N
20160531D,20160531,D
20160531N,20160531,N
20160601D,20160601,D
20160601N,20160601,N
20160602D,20160602,D
20160602N,20160602,N
20160603D,20160603,D
20160603N,20160603,N
20160604D,20160604,D
20160604N,20160604,N
20160605D,20160605,D
20160605N,20160605,N
20160606D,20160606,D
20160606N,20160606,N
20160607D,20160607,D
20160607N,20160607,N
20160608D,20160608,D
20160608N,20160608,N
20160609D,20160609,D
20160609N,20160609,N
20160610D,20160610,D
20160610N,20160610,N
20160611D,20160611,D
20160611N,20160611,N
20160612D,20160612,D
20160612N,20160612,N
20160613D,20160613,D
20160613N,20160613,N
20160614D,20160614,D
20160614N,20160614,N
20160615D,20160615,D
20160615N,20160615,N
20160616D,20160616,D
20160616N,20160616,N
20160617D,20160617,D
20160617N,20160617,N
20160618D,20160618,D
20160618N,20160618,N
20160619D,20160619,D
20160619N,20160619,N
20160620D,20160620,D
20160620N,20160620,N
20160621D,20160621,D
20160621N,20160621,N
20160622D,20160622,D
20160622N,20160622,N
20160623D,20160623,D
20160623N,20160623,N
20160624D,20160624,D
20160624N,20160624,N
20160625D,20160625,D
20160625N,20160625,N
20160626D,20160626,D
