KindOfQuery;Shift;Country;Week;#Eq;#Vars;Eq. creation time;Solve time;Average squared error
WithoutJHURegions;-;NL;2020W05;5;18;0.668212616;0.344426069;5.326069873006316E-4
WithJHURegions;1;NL;2020W05;15;18;2.81610948;0.230348068;5.326069872969102E-4
WithoutJHURegions;-;NL;2020W06;5;20;0.74726336;0.285234492;2.303056943536497E-4
WithJHURegions;1;NL;2020W06;43;20;2.885297005;0.29970959;2.3030569435120775E-4
WithoutJHURegions;-;NL;2020W07;5;20;0.743338844;0.248162187;4.389864963529986E-4
WithJHURegions;1;NL;2020W07;43;20;2.925509745;0.3091339;4.389864963484411E-4
WithoutJHURegions;-;NL;2020W08;5;20;0.577901735;0.230879494;0.0047869754678332
WithJHURegions;1;NL;2020W08;43;20;2.773041152;0.294071844;0.00478697546778444
WithoutJHURegions;-;NL;2020W09;5;20;0.631490972;0.234309449;0.001314769213751817
WithJHURegions;1;NL;2020W09;43;20;2.881657179;0.245760794;0.0013147692137376768
WithoutJHURegions;-;NL;2020W10;5;20;0.679074328;0.229344846;0.0015918152221254072
WithJHURegions;1;NL;2020W10;43;20;2.821558823;0.289603328;0.0015918152221088134
WithoutJHURegions;-;NL;2020W11;5;20;0.606430982;0.276182358;1.3985154562785646E-6
WithJHURegions;1;NL;2020W11;43;20;2.719086228;0.193441143;1.3985154563082749E-6
WithoutJHURegions;-;NL;2020W12;5;20;0.682451195;0.227692513;0.0037238096546539216
WithJHURegions;1;NL;2020W12;43;20;2.757071909;0.283830996;0.0037238096565795067
WithoutJHURegions;-;NL;2020W13;5;20;0.626998627;0.170611436;0.011899456003557289
WithJHURegions;1;NL;2020W13;43;20;2.874553089;0.244973734;0.011899456035144317
WithoutJHURegions;-;NL;2020W14;5;20;0.691457771;0.19283044;0.013073895375707082
WithJHURegions;1;NL;2020W14;43;20;2.843958085;0.219491624;0.013073895426874158
WithoutJHURegions;-;NL;2020W15;5;20;0.696923067;0.255973408;0.01022405935447995
WithJHURegions;1;NL;2020W15;43;20;2.783991734;0.239739748;0.010224059399275077
WithoutJHURegions;-;NL;2020W16;5;20;0.70373618;0.248006214;0.003593643380826219
WithJHURegions;1;NL;2020W16;43;20;2.705678716;0.16982382;0.0035936434030370847
WithoutJHURegions;-;NL;2020W17;5;20;0.63956869;0.147089657;8.59972478911873E-4
WithJHURegions;1;NL;2020W17;43;20;2.753895807;0.257180977;8.599724850495277E-4
WithoutJHURegions;-;NL;2020W18;5;20;0.667888207;0.205865873;5.104690289052045E-7
WithJHURegions;1;NL;2020W18;43;20;2.840165013;0.239716974;5.104689792957971E-7
WithoutJHURegions;-;NL;2020W19;5;20;0.692688788;0.246946353;0.0020733521953164176
WithJHURegions;1;NL;2020W19;43;20;2.807287354;0.235137343;0.0020733521324900668
WithoutJHURegions;-;NL;2020W20;5;20;0.700837217;0.214395363;0.0018176575840414574
WithJHURegions;1;NL;2020W20;43;20;2.721745172;0.163863123;0.0018176575257634934
WithoutJHURegions;-;NL;2020W21;5;20;0.686462757;0.248236896;7.372884827912967E-4
WithJHURegions;1;NL;2020W21;43;20;2.784789644;0.236841493;7.372884640523163E-4
WithoutJHURegions;-;NL;2020W22;5;20;0.613970555;0.17186761;4.8605530409332793E-4
WithJHURegions;1;NL;2020W22;43;20;2.783131081;0.223354382;4.8605528900314763E-4
WithoutJHURegions;-;NL;2020W23;5;20;0.700424505;0.23084483;1.1329434629853484E-4
WithJHURegions;1;NL;2020W23;43;20;2.781385635;0.23424161;1.13294345181892E-4
WithoutJHURegions;-;NL;2020W24;5;20;0.639628377;0.14214258;1.6073816269940146E-5
WithJHURegions;1;NL;2020W24;43;20;2.805945527;0.232018248;1.6073816154587923E-5
WithoutJHURegions;-;NL;2020W25;5;20;0.697071228;0.230959019;3.436894208329386E-5
WithJHURegions;1;NL;2020W25;43;20;2.731153405;0.234770732;3.436894200217706E-5
WithoutJHURegions;-;NL;2020W26;5;20;0.622255374;0.246133097;6.930895798005522E-5
WithJHURegions;1;NL;2020W26;43;20;2.790287755;0.15924228;6.930895771790861E-5
WithoutJHURegions;-;NL;2020W27;5;20;0.653126649;0.144209561;2.8602719439633405E-4
WithJHURegions;1;NL;2020W27;43;20;2.70984651;0.261180551;2.8602719143328855E-4
WithoutJHURegions;-;NL;2020W28;5;20;0.657891427;0.229611547;5.131323249935969E-5
WithJHURegions;1;NL;2020W28;43;20;2.723754263;0.231196338;5.131323245114982E-5
WithoutJHURegions;-;NL;2020W29;5;20;0.649023614;0.231403491;8.032786842073328E-4
WithJHURegions;1;NL;2020W29;43;56;2.785727072;0.241392615;0.1645083406184452
WithoutJHURegions;-;NL;2020W30;5;20;0.626717654;0.219812948;7.59815657155532E-5
WithJHURegions;1;NL;2020W30;43;140;2.714567453;0.238906158;0.08912566000151315
WithoutJHURegions;-;NL;2020W31;5;20;0.63789221;0.240291759;5.4793207588430016E-5
WithJHURegions;1;NL;2020W31;43;188;2.76682862;0.236816824;0.10960451276305455
WithoutJHURegions;-;NL;2020W32;5;20;0.59795896;0.177166465;5.2091275993342355E-6
WithJHURegions;1;NL;2020W32;43;188;2.716513508;0.234513214;0.038182856264041144
WithoutJHURegions;-;NL;2020W33;5;20;0.623589616;0.157889009;0.008338853314192344
WithJHURegions;1;NL;2020W33;43;188;2.649789576;0.162488404;0.05147661959868354
WithoutJHURegions;-;NL;2020W34;5;20;0.692097092;0.214900235;0.0012103986632510293
WithJHURegions;1;NL;2020W34;43;188;2.634227439;0.281569325;0.04167539601306423
WithoutJHURegions;-;NL;2020W35;5;20;0.692489393;0.221219077;2.49925540665666E-4
WithJHURegions;1;NL;2020W35;43;188;2.786557124;0.239029981;0.03857642560328044
WithoutJHURegions;-;NL;2020W36;5;20;0.693840349;0.209661501;2.7289727802113153E-4
WithJHURegions;1;NL;2020W36;43;188;2.765997978;0.19897933;0.050665992306789434
WithoutJHURegions;-;NL;2020W37;5;20;0.695934077;0.233186833;1.7498816174412943E-4
WithJHURegions;1;NL;2020W37;43;188;2.76334109;0.215399604;0.0604883300121428
WithoutJHURegions;-;NL;2020W38;5;20;0.694510338;0.272149199;1.8628396541880252E-4
WithJHURegions;1;NL;2020W38;43;188;2.707915061;0.229851581;0.07054984392010862
WithoutJHURegions;-;NL;2020W39;5;20;0.682012124;0.234859764;5.316688323719658E-4
