Week;DE;ES;IT;NL;SE;UK
20200713;0.028908094;0.052773894;0.05309141;;;
20200720;0.016396815;0.040010342;0.048948691;;;
20200727;0.018747324;0.033826514;0.040647039;;;
20200803;0.018497801;0.021898239;0.03140908;;0.036562899;
20200810;0.018532822;0.024301419;0.026059231;;0.026009743;0.072603355
20200817;0.019698324;0.028565896;0.02168764;;0.025588629;0.063252509
20200824;0.021660393;0.031453001;0.017269653;;0.020298683;0.057549642
20200831;0.026662352;0.035537254;0.013998606;;0.017300469;0.040565225
20200907;0.036409467;0.040482289;0.013215521;;0.021070701;0.035859839
20200914;0.048821873;0.045840933;0.016629933;0.050714963;0.020682822;0.034995409
20200921;0.059388387;0.04825276;0.022436417;0.038322741;0.021039321;0.035976934
20200928;0.062415589;0.048828068;0.024988256;0.042770743;0.021499541;0.032785265
20201005;0.061626522;0.047370148;0.028632748;0.043928219;0.020335624;0.036697557
20201012;0.058361513;0.04611948;0.031111193;0.040936712;0.020448275;0.03604942
20201019;0.047826792;0.044044905;0.029116976;0.036726726;0.021003841;0.029809716
20201026;0.040697512;0.039439852;0.031471709;0.035317356;0.022880506;0.024115154
20201102;0.037467473;0.03881265;0.042211251;0.037875808;0.03875187;0.018737498
20201109;0.034477107;0.038491206;0.054755714;0.042229344;0.043065697;0.014513406
20201116;0.027933931;0.03399768;0.065419085;0.049425994;0.039717923;0.012230753
20201123;0.027016816;0.032360324;0.072489365;0.056021644;0.040198668;0.01249018
20201130;0.023407171;0.034195993;0.069530009;0.063092493;0.042925274;0.012761876
20201207;0.021120063;0.032041186;0.057391668;0.063791179;0.031131094;0.013563863
20201214;0.020566617;0.030027897;0.042734889;0.066903162;0.035067506;0.012931882
20201221;0.027222504;0.030883005;0.031834582;0.066177735;0.038219316;0.014733329
20210104;0.035336582;0.030202289;0.025321118;0.058179021;0.045862715;
20210111;0.04268807;0.026915586;0.025601354;0.049575737;0.04514613;
20210118;0.052372168;0.029064009;0.032767047;0.049632277;0.042771434;
20210125;0.064667471;0.031554208;0.042800934;0.044525288;0.035362243;
20210201;0.069322504;0.03537365;0.046661866;0.043527978;0.035498414;
20210208;0.072007649;0.037389653;0.048375668;0.050186117;0.031423089;
